0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+01
1.200000000000000000e+01,-4.000000000000000000e+01
1.800000000000000000e+01,2.000000000000000000e+01
2.400000000000000000e+01,2.000000000000000000e+01
3.000000000000000000e+01,-6.000000000000000000e+01
3.600000000000000000e+01,1.000000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+01
4.800000000000000000e+01,-7.000000000000000000e+01
5.400000000000000000e+01,-6.000000000000000000e+01
6.000000000000000000e+01,0.000000000000000000e+00
6.600000000000000000e+01,-4.000000000000000000e+01
7.200000000000000000e+01,3.000000000000000000e+01
7.800000000000000000e+01,-7.000000000000000000e+01
8.400000000000000000e+01,1.000000000000000000e+01
9.000000000000000000e+01,2.000000000000000000e+01
9.600000000000000000e+01,1.000000000000000000e+01
1.020000000000000000e+02,4.000000000000000000e+01
1.080000000000000000e+02,-7.000000000000000000e+01
1.140000000000000000e+02,0.000000000000000000e+00
1.200000000000000000e+02,-5.000000000000000000e+01
1.260000000000000000e+02,0.000000000000000000e+00
1.320000000000000000e+02,2.000000000000000000e+01
1.380000000000000000e+02,-7.000000000000000000e+01
1.440000000000000000e+02,1.000000000000000000e+01
1.500000000000000000e+02,-7.000000000000000000e+01
1.560000000000000000e+02,-7.000000000000000000e+01
1.620000000000000000e+02,2.000000000000000000e+01
1.680000000000000000e+02,0.000000000000000000e+00
1.740000000000000000e+02,-6.000000000000000000e+01
1.800000000000000000e+02,2.000000000000000000e+01
1.860000000000000000e+02,-7.000000000000000000e+01
1.920000000000000000e+02,-4.000000000000000000e+01
1.980000000000000000e+02,1.000000000000000000e+01
2.040000000000000000e+02,4.000000000000000000e+01
2.100000000000000000e+02,-6.000000000000000000e+01
2.160000000000000000e+02,1.000000000000000000e+01
2.220000000000000000e+02,2.000000000000000000e+01
2.280000000000000000e+02,-6.000000000000000000e+01
2.340000000000000000e+02,3.000000000000000000e+01
2.400000000000000000e+02,1.000000000000000000e+01
2.460000000000000000e+02,2.000000000000000000e+01
2.520000000000000000e+02,-7.000000000000000000e+01
2.580000000000000000e+02,-5.000000000000000000e+01
2.640000000000000000e+02,1.000000000000000000e+01
2.700000000000000000e+02,-7.000000000000000000e+01
2.760000000000000000e+02,-5.000000000000000000e+01
2.820000000000000000e+02,-7.000000000000000000e+01
2.880000000000000000e+02,2.000000000000000000e+01
2.940000000000000000e+02,-7.000000000000000000e+01
3.000000000000000000e+02,-6.000000000000000000e+01
3.060000000000000000e+02,1.000000000000000000e+01
3.120000000000000000e+02,2.000000000000000000e+01
3.180000000000000000e+02,-7.000000000000000000e+01
3.240000000000000000e+02,1.000000000000000000e+01
3.300000000000000000e+02,0.000000000000000000e+00
3.360000000000000000e+02,0.000000000000000000e+00
3.420000000000000000e+02,2.000000000000000000e+01
3.480000000000000000e+02,2.000000000000000000e+01
3.540000000000000000e+02,2.000000000000000000e+01
3.600000000000000000e+02,1.000000000000000000e+01
3.660000000000000000e+02,-5.000000000000000000e+01
3.720000000000000000e+02,-7.000000000000000000e+01
3.780000000000000000e+02,3.000000000000000000e+01
3.840000000000000000e+02,1.000000000000000000e+01
3.900000000000000000e+02,0.000000000000000000e+00
3.960000000000000000e+02,-6.000000000000000000e+01
4.020000000000000000e+02,2.000000000000000000e+01
4.080000000000000000e+02,1.000000000000000000e+01
4.140000000000000000e+02,2.000000000000000000e+01
4.200000000000000000e+02,-7.000000000000000000e+01
4.260000000000000000e+02,2.000000000000000000e+01
4.320000000000000000e+02,1.000000000000000000e+01
4.380000000000000000e+02,2.000000000000000000e+01
4.440000000000000000e+02,1.000000000000000000e+01
4.500000000000000000e+02,-7.000000000000000000e+01
4.560000000000000000e+02,-6.000000000000000000e+01
4.620000000000000000e+02,2.000000000000000000e+01
4.680000000000000000e+02,-7.000000000000000000e+01
4.740000000000000000e+02,1.000000000000000000e+01
4.800000000000000000e+02,-7.000000000000000000e+01
4.860000000000000000e+02,-7.000000000000000000e+01
4.920000000000000000e+02,-6.000000000000000000e+01
